id,Age,Sexe,Ethnie,Etat,Signes de maladie mentale,Niveau de menace,Fuite,Camera corporelle,Categorie arme,Mois,Year,Jour du mois,Blanc,Noir,Hispanique,Natif,Asiatique,Autre
85,42,M,Noir,AZ,0,Autre,En voiture,0,Autre,1,2015,20,0.54,0.04,0.32,0.04,0.03,0.02
86,36,M,Blanc,CA,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,21,0.37,0.05,0.39,0.0,0.15,0.03
88,36,M,Hispanique,TX,0,Attaque,A pied,0,Arme a feu,1,2015,21,0.41,0.12,0.4,0.0,0.05,0.02
90,19,M,Noir,MO,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,21,0.8,0.11,0.04,0.0,0.02,0.03
98,54,M,Blanc,NH,1,Attaque,Pas de fuite,0,Arme a feu,1,2015,21,0.9,0.01,0.04,0.0,0.03,0.02
99,25,M,Noir,TX,0,Attaque,En voiture,0,Autre,1,2015,22,0.41,0.12,0.4,0.0,0.05,0.02
100,17,F,Blanc,TX,1,Autre,Pas de fuite,0,Objets tranchants,1,2015,22,0.41,0.12,0.4,0.0,0.05,0.02
101,29,M,Noir,FL,0,Autre,Pas de fuite,0,Autre,1,2015,23,0.53,0.15,0.26,0.0,0.03,0.02
102,56,M,Hispanique,TX,0,Autre,Pas de fuite,0,Objets tranchants,1,2015,23,0.41,0.12,0.4,0.0,0.05,0.02
336,61,M,Blanc,TX,1,Attaque,Pas de fuite,0,Arme a feu,1,2015,23,0.41,0.12,0.4,0.0,0.05,0.02
105,45,M,Blanc,ID,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,24,0.82,0.01,0.13,0.01,0.02,0.02
107,26,M,Noir,MD,1,Autre,Pas de fuite,0,Objets tranchants,1,2015,24,0.5,0.29,0.1,0.0,0.06,0.03
341,40,M,Blanc,TX,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,24,0.41,0.12,0.4,0.0,0.05,0.02
108,26,M,Hispanique,CO,0,Attaque,En voiture,0,Arme a feu,1,2015,25,0.68,0.04,0.22,0.0,0.03,0.03
20,17,F,Hispanique,CO,0,Autre,Pas de fuite,0,Autre,1,2015,26,0.68,0.04,0.22,0.0,0.03,0.03
324,68,M,Blanc,MN,1,Attaque,Pas de fuite,0,Arme a feu,1,2015,26,0.8,0.06,0.05,0.01,0.05,0.03
352,24,M,Hispanique,TX,0,Autre,En voiture,0,Non Armé,1,2015,26,0.41,0.12,0.4,0.0,0.05,0.02
353,34,M,Hispanique,CA,1,Autre,Pas de fuite,0,Objets tranchants,1,2015,26,0.37,0.05,0.39,0.0,0.15,0.03
